2020-08-16 19:17:53.2431||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:53.2513||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:53.2513||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:53.2513||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:18:09.6644|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 19:18:09.8239||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:18:09.8356||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:18:09.8356||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:18:09.8447||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:18:09.8447||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:18:09.8447||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:19:22.4208||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4208||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4416||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4416||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4416||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4517||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4517||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4517||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4517||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4517||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4699||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:19:22.4699||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:13.8367||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:13.9581||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:13.9936||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
