2020-08-16 14:28:17.8263||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 14:28:18.4254|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 14:28:18.5123||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 14:28:18.5123||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 14:28:18.5265||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 14:28:18.5265||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:29:41.8800||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 17:29:42.5268|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 17:29:42.6394||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:29:42.6537||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:29:42.6537||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:29:42.6537||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:32:12.6346||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 17:32:13.5303|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 17:32:13.7004||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:32:13.7123||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:32:13.7123||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:32:13.7123||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:38:18.4855||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 17:38:18.9923|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 17:38:19.1067||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:38:19.1067||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:38:19.1192||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 17:38:19.1192||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:05:44.5786||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 18:05:45.0769|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 18:05:45.1715||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:05:45.1715||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:05:45.1715||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:05:45.1905||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:13:21.7504||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 18:13:22.4304|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 18:13:22.5168||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
